disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,id,hash,lastRefresh
4674,2022-09-30T00:00:00.000Z,FLOODING AND MUDSLIDES,2022-07-13T00:00:00.000Z,2022-07-14T00:00:00.000Z,Major Disaster,VA,Virginia,Severe Storm,2022-09-30T00:00:00.000Z,2022-09-30T00:00:00.000Z,,3,0,0,1,1,2dfff70c-d531-455e-aa39-76cfed2be597,b1a29f6290b67de70dd1d2a1ad92c2457df989cc,2023-03-18T13:22:06.532Z
3585,2022-09-29T00:00:00.000Z,HURRICANE IAN,2022-09-25T00:00:00.000Z,2022-10-04T00:00:00.000Z,Emergency,SC,South Carolina,Hurricane,2022-09-30T00:00:00.000Z,2022-10-21T00:00:00.000Z,,4,0,0,1,0,26c2669e-b048-4cf3-b321-72f221d82a44,095785ff64d8ed7f0d660a12002c34e5a4455026,2023-03-18T13:22:06.532Z
4673,2022-09-29T00:00:00.000Z,HURRICANE IAN,2022-09-23T00:00:00.000Z,2022-11-04T00:00:00.000Z,Major Disaster,FL,Florida,Hurricane,2022-09-29T00:00:00.000Z,2022-11-10T00:00:00.000Z,,4,1,0,1,1,1dd88659-d017-4c83-8116-5435eb09da94,5a3e53a71a5fc03c9318cdc4f165f86ec58371e2,2023-03-18T13:22:06.532Z
3584,2022-09-24T00:00:00.000Z,TROPICAL STORM IAN,2022-09-23T00:00:00.000Z,2022-11-04T00:00:00.000Z,Emergency,FL,Florida,Hurricane,2022-09-25T00:00:00.000Z,2023-02-28T00:00:00.000Z,2023-02-22T00:00:00.000Z,4,0,0,1,0,865e7562-c643-4c34-98f5-aea0981ce7b6,c61efe031b66be6aebe3a1cbd3156080adf82a64,2023-03-18T13:22:06.532Z
4672,2022-09-23T00:00:00.000Z,"SEVERE STORM, FLOODING, AND LANDSLIDES",2022-09-15T00:00:00.000Z,2022-09-20T00:00:00.000Z,Major Disaster,AK,Alaska,Severe Storm,2022-09-24T00:00:00.000Z,2022-11-22T00:00:00.000Z,,10,1,0,1,1,ca095612-5f12-4a9e-b72f-415c8c8eae29,8d3ac50f43194f66774c1e1fa7559c1f0c18f187,2023-03-18T13:22:06.532Z
4671,2022-09-21T00:00:00.000Z,HURRICANE FIONA,2022-09-17T00:00:00.000Z,2022-09-21T00:00:00.000Z,Major Disaster,PR,Puerto Rico,Hurricane,2022-09-22T00:00:00.000Z,2022-11-28T00:00:00.000Z,,2,1,0,1,1,e64fa19f-145d-4630-8b8a-ef679f9b4f6b,84d0c5e0c8158abb19e49e65508e0bb8a01d3ffc,2023-03-18T13:22:06.532Z
4670,2022-09-20T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",2022-05-02T00:00:00.000Z,2022-05-08T00:00:00.000Z,Major Disaster,OK,Oklahoma,Severe Storm,2022-09-20T00:00:00.000Z,2022-09-20T00:00:00.000Z,,6,0,0,1,1,8d334b89-97c3-4510-8e04-da6a5def0cfc,5f591a228423e24917b43f926713f2092334c03c,2023-03-18T13:22:06.532Z
3583,2022-09-18T00:00:00.000Z,TROPICAL STORM FIONA,2022-09-17T00:00:00.000Z,2022-09-21T00:00:00.000Z,Emergency,PR,Puerto Rico,Hurricane,2022-09-18T00:00:00.000Z,2022-10-25T00:00:00.000Z,2022-10-20T00:00:00.000Z,2,0,0,1,0,96337a36-7edd-4c8a-aaa1-f11dff9c0093,bb9f4e1052f0432db3c592d4a8e992817eb611cf,2023-03-18T13:22:06.532Z
4669,2022-09-15T00:00:00.000Z,"HIGH SURF, HIGH WINDS, AND FLOODING",2022-07-12T00:00:00.000Z,2022-07-15T00:00:00.000Z,Major Disaster,AS,American Samoa,Severe Storm,2022-09-16T00:00:00.000Z,2022-09-16T00:00:00.000Z,,9,0,0,1,1,bad4289b-1fb0-4efb-ab77-c49beaca3144,d0dc89832ffc7c6e19554350ca68d63a99b06f1e,2023-03-18T13:22:06.532Z
5455,2022-09-10T00:00:00.000Z,BOLT CREEK FIRE,2022-09-10T00:00:00.000Z,,Fire Management,WA,Washington,Fire,2022-09-14T00:00:00.000Z,2022-09-14T00:00:00.000Z,,10,0,0,1,1,90dd3429-c1f3-41fb-9f23-fa4d2995ddd1,9f6a1ea336ec3215230d8986a0426530b42ed010,2023-03-18T13:22:06.532Z
5454,2022-09-10T00:00:00.000Z,MILO MCIVER FIRE,2022-09-10T00:00:00.000Z,,Fire Management,OR,Oregon,Fire,2022-09-14T00:00:00.000Z,2022-09-14T00:00:00.000Z,,10,0,0,1,1,c81e962b-c946-449f-b413-84ee7875f541,f5d7e8fad2adee83da3ec8a4aab05e055ce9f815,2023-03-18T13:22:06.532Z
5452,2022-09-05T00:00:00.000Z,ROSS FORK FIRE,2022-09-05T00:00:00.000Z,,Fire Management,ID,Idaho,Fire,2022-09-09T00:00:00.000Z,2022-09-09T00:00:00.000Z,,10,0,0,1,1,5b466dad-c566-4cb2-935c-4d9bb7e3b4fd,104b8695c1759614f3162821a5cda73023fefc4f,2023-03-18T13:22:06.532Z
